CNES;Latitude_Nova;Longitude_Nova;Endereco_Google;Qualidade_Busca
9172;-23.2301283;-45.8848705;Av. Andrômeda, 1960 - Jardim Satélite, São José dos Campos - SP, 12230-000, Brazil;ROOFTOP
12564;-22.8933691;-43.1224386;Av. Ernani do Amaral Peixoto, 169 - Centro, Niterói - RJ, 24020-070, Brazil;ROOFTOP
12572;-22.8938259;-43.1221944;R. Visc. do Uruguai, 531 - Centro, Niterói - RJ, 24030-076, Brazil;ROOFTOP
12688;-22.9015282;-43.1239771;R. Tiradentes, 127 - Ingá, Niterói - RJ, 24210-510, Brazil;ROOFTOP
12874;-22.899715;-43.121498;R. Dr. Araújo Pimenta - Morro do Estado, Niterói - RJ, 24210-070, Brazil;GEOMETRIC_CENTER
12912;-22.9329146;-43.1149764;Estr. Gen. Eurico Gaspar Dutra - Jurujuba, Niterói - RJ, 24370-195, Brazil;GEOMETRIC_CENTER
12920;-22.9318774;-43.1153448;Av. Carlos Ermelindo Marins - Jurujuba, Niterói - RJ, Brazil;GEOMETRIC_CENTER
13048;-22.8938259;-43.1221944;R. Visc. do Uruguai, 531 - Centro, Niterói - RJ, 24030-078, Brazil;ROOFTOP
13064;-22.904331;-43.1267125;R. Onze de Agosto, 4 - Ingá, Niterói - RJ, 24210, Brazil;ROOFTOP
13102;-24.6573104;-48.992894;R. Cassiano Rosa dos Santos, 8, Adrianópolis - PR, 83490-000, Brazil;RANGE_INTERPOLATED
13560;-25.4705797;-49.5873522;R. Antonio Lopes - Bugre, Balsa Nova - PR, 83650-000, Brazil;GEOMETRIC_CENTER
13595;-25.4709244;-49.710498;R. Sabina Serra Receto, 550 - São Luiz do Purunã, Balsa Nova - PR, 83650-000, Brazil;ROOFTOP
13692;-25.3668162;-49.1071548;R. José Romagnani, 127 - Jardim Paulista, Campina Grande do Sul - PR, 83430-000, Brazil;ROOFTOP
14087;-25.2838911;-49.4401094;Estr. Principal, Campo Magro - PR, 83535-000, Brazil;GEOMETRIC_CENTER
