CNES;Motivo_Erro
162906;Caiu em cidade errada. Esperado: IBGE 421170
163570;Fora do Brasil ou no mar
164135;Fora do Brasil ou no mar
164763;Caiu em cidade errada. Esperado: IBGE 313240
171565;Caiu em cidade errada. Esperado: IBGE 292260
172219;Fora do Brasil ou no mar
174734;Caiu em cidade errada. Esperado: IBGE 150835
175188;Fora do Brasil ou no mar
175404;Caiu em cidade errada. Esperado: IBGE 280030
175544;Fora do Brasil ou no mar
175943;Caiu em cidade errada. Esperado: IBGE 430680
177245;Fora do Brasil ou no mar
177377;Fora do Brasil ou no mar
177474;Caiu em cidade errada. Esperado: IBGE 290670
177946;Fora do Brasil ou no mar
178047;Caiu em cidade errada. Esperado: IBGE 410720
178063;Caiu em cidade errada. Esperado: IBGE 421950
178640;Caiu em cidade errada. Esperado: IBGE 311230
178691;Caiu em cidade errada. Esperado: IBGE 355030
178837;Caiu em cidade errada. Esperado: IBGE 355030
179213;Caiu em cidade errada. Esperado: IBGE 430680
179558;Caiu em cidade errada. Esperado: IBGE 130353
180262;Caiu em cidade errada. Esperado: IBGE 211120
180548;Fora do Brasil ou no mar
181110;Caiu em cidade errada. Esperado: IBGE 421480
181218;Caiu em cidade errada. Esperado: IBGE 421480
181331;Caiu em cidade errada. Esperado: IBGE 210150
183032;Caiu em cidade errada. Esperado: IBGE 420420
184861;Caiu em cidade errada. Esperado: IBGE 510760
185485;Caiu em cidade errada. Esperado: IBGE 355030
185787;Caiu em cidade errada. Esperado: IBGE 291250
185817;Fora do Brasil ou no mar
189065;Caiu em cidade errada. Esperado: IBGE 280550
189332;Caiu em cidade errada. Esperado: IBGE 314690
189715;Fora do Brasil ou no mar
189758;Caiu em cidade errada. Esperado: IBGE 330455
189774;Fora do Brasil ou no mar
189790;Caiu em cidade errada. Esperado: IBGE 330455
189871;Fora do Brasil ou no mar
189987;Caiu em cidade errada. Esperado: IBGE 330455
190330;Fora do Brasil ou no mar
190519;Caiu em cidade errada. Esperado: IBGE 520540
190845;Caiu em cidade errada. Esperado: IBGE 420390
191434;Fora do Brasil ou no mar
191728;Caiu em cidade errada. Esperado: IBGE 350280
191892;Caiu em cidade errada. Esperado: IBGE 280320
192201;Fora do Brasil ou no mar
192643;Caiu em cidade errada. Esperado: IBGE 150760
196347;Caiu em cidade errada. Esperado: IBGE 311940
196371;Caiu em cidade errada. Esperado: IBGE 330510
196711;Caiu em cidade errada. Esperado: IBGE 420390
196762;Caiu em cidade errada. Esperado: IBGE 330490
196789;Caiu em cidade errada. Esperado: IBGE 120060
196916;Caiu em cidade errada. Esperado: IBGE 290620
197289;Fora do Brasil ou no mar
197300;Fora do Brasil ou no mar
197432;Fora do Brasil ou no mar
197440;Fora do Brasil ou no mar
197475;Caiu em cidade errada. Esperado: IBGE 330455
197513;Caiu em cidade errada. Esperado: IBGE 330455
197556;Caiu em cidade errada. Esperado: IBGE 330455
197998;Caiu em cidade errada. Esperado: IBGE 430910
198056;Caiu em cidade errada. Esperado: IBGE 410420
199257;Caiu em cidade errada. Esperado: IBGE 292740
201081;Caiu em cidade errada. Esperado: IBGE 421720
203432;Caiu em cidade errada. Esperado: IBGE 431180
204544;Fora do Brasil ou no mar
204595;Fora do Brasil ou no mar
204781;Fora do Brasil ou no mar
207098;Caiu em cidade errada. Esperado: IBGE 240050
207152;Fora do Brasil ou no mar
207160;Caiu em cidade errada. Esperado: IBGE 240810
207330;Caiu em cidade errada. Esperado: IBGE 290460
207438;Caiu em cidade errada. Esperado: IBGE 510395
207624;Caiu em cidade errada. Esperado: IBGE 421105
207721;Caiu em cidade errada. Esperado: IBGE 421360
208248;Fora do Brasil ou no mar
208264;Fora do Brasil ou no mar
208469;Fora do Brasil ou no mar
208817;Caiu em cidade errada. Esperado: IBGE 355220
208825;Caiu em cidade errada. Esperado: IBGE 354260
209708;Caiu em cidade errada. Esperado: IBGE 420460
210552;Caiu em cidade errada. Esperado: IBGE 293160
210595;Fora do Brasil ou no mar
210676;Caiu em cidade errada. Esperado: IBGE 330455
211206;Caiu em cidade errada. Esperado: IBGE 354880
213012;Fora do Brasil ou no mar
213128;Caiu em cidade errada. Esperado: IBGE 355280
213209;Caiu em cidade errada. Esperado: IBGE 510250
213543;Caiu em cidade errada. Esperado: IBGE 330455
214124;Caiu em cidade errada. Esperado: IBGE 261000
214523;Caiu em cidade errada. Esperado: IBGE 350600
214574;Caiu em cidade errada. Esperado: IBGE 500370
214760;Fora do Brasil ou no mar
215031;Fora do Brasil ou no mar
215465;Caiu em cidade errada. Esperado: IBGE 240710
216518;Caiu em cidade errada. Esperado: IBGE 291390
216542;Caiu em cidade errada. Esperado: IBGE 260790
216615;Caiu em cidade errada. Esperado: IBGE 314790
216704;Caiu em cidade errada. Esperado: IBGE 290755
216712;Caiu em cidade errada. Esperado: IBGE 290620
217492;Caiu em cidade errada. Esperado: IBGE 355030
217743;Caiu em cidade errada. Esperado: IBGE 290730
218065;Fora do Brasil ou no mar
219002;Caiu em cidade errada. Esperado: IBGE 291840
219509;Caiu em cidade errada. Esperado: IBGE 530010
219649;Caiu em cidade errada. Esperado: IBGE 220490
219703;Fora do Brasil ou no mar
220000;Fora do Brasil ou no mar
220647;Fora do Brasil ou no mar
220760;Caiu em cidade errada. Esperado: IBGE 330020
221236;Caiu em cidade errada. Esperado: IBGE 260150
221597;Fora do Brasil ou no mar
222283;Caiu em cidade errada. Esperado: IBGE 293050
222712;Caiu em cidade errada. Esperado: IBGE 520870
223093;Fora do Brasil ou no mar
225630;Fora do Brasil ou no mar
225649;Fora do Brasil ou no mar
225851;Caiu em cidade errada. Esperado: IBGE 330455
227579;Caiu em cidade errada. Esperado: IBGE 353470
227773;Caiu em cidade errada. Esperado: IBGE 290570
227870;Caiu em cidade errada. Esperado: IBGE 330455
228753;Caiu em cidade errada. Esperado: IBGE 230970
228885;Caiu em cidade errada. Esperado: IBGE 521800
229326;Caiu em cidade errada. Esperado: IBGE 420430
229369;Caiu em cidade errada. Esperado: IBGE 410940
229482;Fora do Brasil ou no mar
229490;Fora do Brasil ou no mar
229660;Caiu em cidade errada. Esperado: IBGE 310160
240788;Fora do Brasil ou no mar
241180;Caiu em cidade errada. Esperado: IBGE 150600
241229;Caiu em cidade errada. Esperado: IBGE 421930
241369;Caiu em cidade errada. Esperado: IBGE 330455
241881;Fora do Brasil ou no mar
242063;Caiu em cidade errada. Esperado: IBGE 421010
243019;Fora do Brasil ou no mar
243086;Fora do Brasil ou no mar
245585;Caiu em cidade errada. Esperado: IBGE 330455
245607;Caiu em cidade errada. Esperado: IBGE 330455
245763;Caiu em cidade errada. Esperado: IBGE 421360
245771;Caiu em cidade errada. Esperado: IBGE 421360
245925;Caiu em cidade errada. Esperado: IBGE 354910
246344;Caiu em cidade errada. Esperado: IBGE 310560
